date,price
2017-11-01,112.29
2017-12-01,112.65
2018-01-01,108.7
2018-02-01,107.08
2018-03-01,106.19
2018-04-01,109.4
2018-05-01,108.77
2018-06-01,110.64
2018-07-01,111.4
2018-08-01,110.81
2018-09-01,113.44
2018-10-01,113.2
2018-11-01,113.47
2018-12-01,110.4
2019-01-01,108.73
2019-02-01,110.76
2019-03-01,110.75
2019-04-01,111.68
2019-05-01,108.78
2019-06-01,107.64
2019-07-01,108.56
2019-08-01,106.52
2019-09-01,107.86
2019-10-01,108.61
2019-11-01,109.5
2019-12-01,109.15
2020-01-01,109.04
2020-02-01,108.84
2020-03-01,108.42
2020-04-01,106.6
2020-05-01,107.21
2020-06-01,107.73
2020-07-01,104.45
2020-08-01,105.83
2020-09-01,105.62
2020-10-01,104.36
2020-11-01,104.03
2020-12-01,103.33
2021-01-01,104.55
2021-02-01,106.09
2021-03-01,110.74
2021-04-01,108.89
2021-05-01,109.72
2021-06-01,110.55
2021-07-01,109.53
2021-08-01,109.82
2021-09-01,111.88
2021-10-01,113.61
2021-11-01,113.19
2021-12-01,115.12
2022-01-01,115.43
2022-02-01,115.5
2022-03-01,121.64
2022-04-01,130.6
2022-05-01,127.76
2022-06-01,136.2
2022-07-01,132.78
2022-08-01,138.6
2022-09-01,144.32
2022-10-01,148.01
2022-11-01,138.53
2022-12-01,132.14
2023-01-01,130.15
2023-02-01,136.76
2023-03-01,133.13
2023-04-01,135.73
2023-05-01,139.75
2023-06-01,144.85
2023-07-01,142.18
2023-08-01,145.91
2023-09-01,148.77
2023-10-01,150.29
2023-11-01,147.06
2023-12-01,141.4
2024-01-01,147.66
2024-02-01,149.68
2024-03-01,151.34
2024-04-01,156.86
2024-05-01,157.15
2024-06-01,160.93
2024-07-01,150.91
2024-08-01,144.94
2024-09-01,142.38
2024-10-01,152.25
2024-11-01,149.99
2024-12-01,157.89
